ID,,Watched,Rating
5474,Exodus: Gods and Kings (2014),no,0
5475,Exodus: Tales from the Enchanted Kingdom (2005),no,0
5476,Exorcist II: The Heretic (1977),no,0
5477,Exorcist series:,no,0
5478,Exorcist: The Beginning (2004),no,0
5479,Exotica (1995),no,0
5480,Expedition: Bismarck (2002) (TV),no,0
5481,Expelled: No Intelligence Allowed(2008),no,0
5482,Experiment in Terror (1962),no,0
5483,Experiment Perilous (1944),no,0
5484,Experiments in the Revival of Organisms (1940),no,0
5485,Explorers (1985),no,0
5486,Exponát roku 1827 (2008) Czech,no,0
5487,Exterminator 2 (1984),no,0
5488,Extract (2009),no,0
5489,Extraordinary Measures (2010),no,0
5490,Extraordinary Mission (2017),no,0
5491,Extreme Measures (1996),no,0
5492,Extreme Ops (2002),no,0
5493,Extreme Prejudice (1987),no,0
5494,Extremely Loud and Incredibly Close(2012),no,0
5495,Extremities (1986),no,0
5496,Eye for an Eye: (1996 & 2008),no,0
5497,Eye of the Beholder (2000),no,0
5498,Eye of the Devil (1967),no,0
5499,Eye of the Needle (1981),no,0
5500,Eyes of Laura Mars (1978),no,0
5501,Eyes Wide Shut (1999),no,0
5502,Eyes Without a Face (1959),no,0
5503,Eyewitness (1981),no,0
5504,Ezra (2007),no,0
5505,F for Fake (1974),no,0
5506,F (2010),no,0
5507,F.I.S.T. (1978),no,0
5508,F/X (1986),no,0
5509,F/X2 (1991),no,0
5510,Faat Kiné (2000),no,0
5511,Face 2 Face: (2012 Malayalam & 2012 American),no,0
5512,Face of the Screaming Werewolf(1964),no,0
5513,"Face to Face: (1952, 1963, 1967, 1976, 1979, 1984 & 2011)",no,0
5514,Face/Off (1997),no,0
5515,"Face: (1997, 2000, 2004 & 2009)",no,0
5516,Faces of Death (1978),no,0
5517,Faces (1968),no,0
5518,Facing the Giants (2006),no,0
5519,Facing the Wall (2016),no,0
5520,Facing Windows (2003),no,0
5521,Factory Boss (2014),no,0
5522,Factory Girl (2006),no,0
5523,Factotum (2006),no,0
5524,Fade to Black: (1980 & 2004),no,0
5525,Fading of the Cries (2011),no,0
5526,Fading Wave (2015),no,0
5527,Faeries: (1981 & 1999),no,0
5528,Fahrenheit 451: (1966 & 2018),no,0
5529,Fahrenheit 9/11 (2004),no,0
5530,FahrenHYPE 9/11 (2004),no,0
5531,Failan (2001),no,0
5532,Fail-Safe: (1964 & 2000 TV),no,0
5533,Failure to Launch (2006),no,0
5534,"Fair Game: (1986, 1995, 2005 & 2010)",no,0
5535,Fairy Tail the Movie: Phoenix Priestess (2013),no,0
5536,Fairy Tail series:,no,0
5537,Fairy Tail: Dragon Cry (2017),no,0
5538,FairyTale: A True Story (1997),no,0
5539,Faithful (1996),no,0
5540,Faithless (2000),no,0
5541,Fake (2003),no,0
5542,Falcon Down (2000),no,0
5543,Falcons (2002),no,0
5544,Fall in Love Like a Star (2015),no,0
5545,Fallen Angel (1945),no,0
5546,Fallen Angels (1995),no,0
5547,Fallen (1998 & 2015),no,0
5548,Falling Down (1993),no,0
5549,Falling Flowers (2012),no,0
5550,Falling Hare (1943),no,0
5551,Falling in Love (1984),no,0
5552,False Hare (1964),no,0
5553,Fame: (1980 & 2009),no,0
5554,Family Business (1989),no,0
5555,Family Guy (1999),no,0
5556,Family Plot (1976),no,0
5557,Fan Chan (2003),no,0
5558,Fanaa (2006),no,0
5559,Fanaa (2010),no,0
5560,Fanboys (2009),no,0
5561,Fancy Pants (1950),no,0
5562,Fandango (1985),no,0
5563,Fando and Lis (1972),no,0
5564,"Fanfan la Tulipe: (1925, 1952 & 2003)",no,0
5565,Fanny and Alexander (1982),no,0
5566,Fanny (1961),no,0
5567,Fantasia 2000 (2000),no,0
5568,Fantasia (1940),no,0
5569,Fantastic Beasts and Where to Find Them (2016),no,0
5570,Fantastic Beasts and Where to Find Them series:,no,0
5571,Fantastic Beasts: The Crimes of Grindelwald (2018),no,0
5572,Fantastic Four:,no,0
5573,"Fantastic Four: (1994, 2005 & 2015)",no,0
5574,Fantastic Four: Rise of the Silver Surfer (2007),no,0
5575,Fantastic Mr. Fox (2009),no,0
5576,Fantastic Planet (1973),no,0
5577,FAQ: Frequently Asked Questions(2004),no,0
5578,Far and Away (1992),no,0
5579,Far Cry (2008),no,0
5580,Far from Heaven (2002),no,0
5581,"Far from the Madding Crowd: (1915, 1967, 1998 & 2015)",no,0
5582,"Faraway, So Close! (1993)",no,0
5583,Farce of the Penguins (2007),no,0
5584,Farewell My Concubine (1993),no,0
5585,Farewell to the King (1989),no,0
5586,"Farewell, My Lovely (1975)",no,0
5587,"Farewell, My Queen (2012)",no,0
5588,Farewell: (1983 & 2009),no,0
5589,Farewells (1958),no,0
5590,Fargo (1996),no,0
5591,Farinelli (1994),no,0
5592,Farm House II (2014),no,0
5593,Farsighted for Two Diopters (1976),no,0
5594,Farz: (1967 & 2001),no,0
5595,Fascination: (1922 & 1979),no,0
5596,Fast & Furious 6 (2013),no,0
5597,Fast & Furious (2009),no,0
5598,Fast and Furry-ous (1948),no,0
5599,"Fast Company: (1918, 1924, 1929, 1938, 1953 & 1979)",no,0
5600,Fast Five (2011),no,0
5601,Fast Food Nation (2006),no,0
5602,Fast Getaway II (1994),no,0
5603,Fast Getaway (1991),no,0
5604,Fast Times at Ridgemont High (1982),no,0
5605,"Fast, Cheap & Out of Control (1997)",no,0
5606,"Faster, Pussycat! Kill! Kill! (1965)",no,0
5607,Faster: (2003 & 2010),no,0
5608,Fat Albert (2004),no,0
5609,Fat Choi Spirit (2002),no,0
5610,Fat City (1972),no,0
5611,Fat Girl (2001),no,0
5612,Fat Man and Little Boy (1989),no,0
5613,Fat Pizza (2003),no,0
5614,"Fat, Sick & Nearly Dead (2010)",no,0
5615,Fata Morgana (1972),no,0
5616,Fatal Attraction (1987),no,0
5617,Fatal Beauty (1987),no,0
5618,Fatal Fury 2: The New Battle (1993),no,0
5619,Fatal Fury: Legend of the Hungry Wolf(1994),no,0
5620,Fatal Fury: The Motion Picture (1994),no,0
5621,Fatal Instinct (1993),no,0
5622,Fatal Intuition (2015),no,0
5623,Fate series:,no,0
5624,Fate/Grand Order: First Order(2016 TV),no,0
5625,Fate/kaleid liner Prisma Illya: Oath Under Snow (2017),no,0
5626,Fate/stay night: Heaven's Feel(2017),no,0
5627,Fate/stay night: Unlimited Blade Works (2010),no,0
5628,"Fate: (1913, 2001 & 2008)",no,0
5629,Fateless (2005),no,0
5630,Father Goose (1964),no,0
5631,Father of the Bride Part II (1995),no,0
5632,Father of the Bride: (1950 & 1991),no,0
5633,Father Sergius (1917),no,0
5634,Father: (1990 & 2000),no,0
5635,"Father's Day: (1930, 1996, 1997, 2011& 2012)",no,0
5636,Father's Little Dividend (1951),no,0
5637,Fatty and Mabel Adrift (1916),no,0
5638,Fatty Finn (1980),no,0
5639,Fatty's Tintype Tangle (1915),no,0
5640,Fatwa (2006),no,0
5641,"Faust: (1926, 1994 & 2011)",no,0
5642,Faust: Love of the Damned (2001),no,0
5643,Favorites of the Moon (1984),no,0
5644,Fay Grim (2007),no,0
5645,Fear and Desire (1953),no,0
5646,Fear and Loathing in Las Vegas (1998),no,0
5647,Fear and Trembling (2003),no,0
5648,Fear in the Night: (1947 & 1972),no,0
5649,Fear of a Black Hat (1994),no,0
5650,Fear X (2003),no,0
5651,Fear: (1946 & 1996),no,0
5652,FeardotCom (2002),no,0
5653,Fearless: (1993 & 2006),no,0
5654,Feast 2: Sloppy Seconds (2008),no,0
5655,Feast III: The Happy Finish (2009),no,0
5656,Feast of July (1995),no,0
5657,Feast of Love (2007),no,0
5658,Feast of the Seven Fishes (2018),no,0
5659,Feast (2005 & 2014),no,0
5660,Feds (1988),no,0
5661,Feed Me (2013),no,0
5662,Feed: (2005 & 2017),no,0
5663,Feeling Minnesota (1996),no,0
5664,Feet First (1930),no,0
5665,Felicia's Journey (1999),no,0
5666,Felicity (1978),no,0
5667,Felicity: An American Girl Adventure(2005 TV),no,0
5668,Fellini Satyricon (1969),no,0
5669,Fellini's Casanova (1977),no,0
5670,Female Convict Scorpion: Jailhouse 41(1972),no,0
5671,Female Trouble (1974),no,0
5672,Female Vampire (1973),no,0
5673,Femme Fatale: (1991 & 2002),no,0
5674,Fences (2016),no,0
5675,"Fengming, a Chinese Memoir (2007)",no,0
5676,FernGully 2: The Magical Rescue(1998),no,0
5677,FernGully: The Last Rainforest (1992),no,0
5678,Ferris Bueller's Day Off (1986),no,0
5679,Ferry Tales (2002),no,0
5680,Festen (1998),no,0
5681,Festival Express (2003),no,0
5682,Festival in Cannes (2001),no,0
5683,"Festival: (1967, 1996, 2001 & 2005)",no,0
5684,Fever Lake (1996),no,0
5685,"Fever Pitch: (1985, 1997 & 2005)",no,0
5686,Ffolkes (1979),no,0
5687,Fiddler on the Roof (1971),no,0
5688,Fido (2006),no,0
5689,Field of Dreams (1989),no,0
5690,Fiend Without a Face (1958),no,0
5691,Fierce Creatures (1997),no,0
5692,Fifty Million Frenchmen (1931),no,0
5693,Fifty Shades Darker (2017),no,0
5694,Fifty Shades Freed (2018),no,0
5695,Fifty Shades of Grey (2015),no,0
5696,Fifty Shades series:,no,0
5697,Fig Trees (2009),no,0
5698,Fight Back to School (1990),no,0
5699,Fight Club (1999),no,0
5700,Fight for Your Life (1977),no,0
5701,Fighter in the Wind (2004),no,0
5702,"Fighter: (2000, 2007 & 2012)",no,0
5703,Fighters (2014),no,0
5704,Fighting Elegy (1966),no,0
5705,Fighting with My Family (2018),no,0
5706,Fighting: (2009 & 2014),no,0
5707,Fiji Love (2014),no,0
5708,Filantropica (2002),no,0
5709,Film Geek (2005),no,0
5710,Film Portrait (1970),no,0
5711,Film (1965),no,0
5712,Final Analysis (1992),no,0
5713,"Final Cut: (1980, 1998 & 2004)",no,0
5714,Final Destination 2 (2003),no,0
5715,Final Destination 3 (2006),no,0
5716,Final Destination 5 (2011),no,0
5717,Final Destination (2000),no,0
5718,Final Destination series:,no,0
5719,Final Fantasy VII Advent Children(2005),no,0
5720,Final Fantasy series:,no,0
5721,Final Fantasy: The Spirits Within(2001),no,0
5722,Final Flight of the Osiris (2003),no,0
5723,"Final Justice: (1985, 1988, & 1997)",no,0
5724,Final Score (2007 & 2017),no,0
5725,Final Stab (2001),no,0
5726,Find Me Guilty (2006),no,0
5727,Finder's Fee (2001),no,0
5728,Finding Dory (2016),no,0
5729,Finding Forrester (2000),no,0
5730,Finding Nemo (2003),no,0
5731,Finding Nemo series:,no,0
5732,Finding Neverland (2004),no,0
5733,Fingers: (1941 & 1978),no,0
5734,Finian's Rainbow (1968),no,0
5735,Fire and Ice: (1983 & 1986),no,0
5736,Fire and Ice: The Dragon Chronicles(2008 TV),no,0
5737,Fire and Ice: The Winter War of Finland and Russia (2005),no,0
5738,Fire Down Below: (1957 & 1997),no,0
5739,Fire Festival (1985),no,0
5740,Fire Fighters (1922),no,0
5741,Fire in the Sky (1993),no,0
5742,Fire Maidens from Outer Space (1956),no,0
5743,Fire on the Mountain: (1981 & 1996),no,0
5744,Fire Over England (1937),no,0
5745,Fire with Fire: (1986 & 2012),no,0
5746,"Fire!: (1901, 1977 & 1991)",no,0
5747,Fire: (1996 & 2002),no,0
5748,Firebreather (2010 TV),no,0
5749,Firecreek (1968),no,0
5750,Fired Up! (2009),no,0
5751,Fireflies in the Garden (2008),no,0
5752,Firehouse Dog (2007),no,0
5753,Firehouse: (1987 & 1997),no,0
5754,Firelight: (1964 & 1998),no,0
5755,Fireman (2015),no,0
5756,Fireproof (2008),no,0
5757,Fires on the Plain: (1959 & 2014),no,0
5758,Fires Were Started (1943),no,0
5759,Firestarter (1984),no,0
5760,Firestorm: (1998 & 2013),no,0
5761,Firewalker (1986),no,0
5762,Firewall (2006),no,0
5763,Firewater (1994),no,0
5764,First Action Hero (1994),no,0
5765,First Blood (1982),no,0
5766,First Born (2007),no,0
5767,First Cow (2019),no,0
5768,First Daughter: (1999 TV & 2004),no,0
5769,First Descent (2005),no,0
5770,First Knight (1995),no,0
5771,First Man into Space (1959),no,0
5772,First Man (2018),no,0
5773,First Monday in October (1981),no,0
5774,First Name: Carmen (1983),no,0
5775,First of May: (1958 & 2015),no,0
5776,First on the Moon (2005),no,0
5777,First Reformed (2017),no,0
5778,First Spaceship on Venus (1962),no,0
5779,First Sunday (2008),no,0
5780,First Time (2012),no,0
5781,Firstborn (1984),no,0
5782,Fish and Elephant (2001),no,0
5783,Fish Tank (2009),no,0
5784,Fishing Without Nets: (2012 & 2014),no,0
5785,Fist Fight (2017),no,0
5786,Fist of Fury (1972),no,0
5787,Fist of Legend (1994),no,0
5788,Fist of the North Star: (1986 & 1995),no,0
5789,Fists in the Pocket (1965),no,0
5790,Fists of Fury (1971),no,0
5791,Fit Lover (2008),no,0
5792,Fitzcarraldo (1982),no,0
5793,Five Came Back (1939),no,0
5794,Five Children and It (2004),no,0
5795,Five Corners (1987),no,0
5796,"Five Days, Five Nights: (1960 & 1996)",no,0
5797,Five Deadly Venoms (1978),no,0
5798,Five Easy Pieces (1970),no,0
5799,Five Elements Ninjas (1982),no,0
5800,Five Fingers of Death (1973),no,0
5801,Five Fingers (2006),no,0
5802,Five for Hell (1969),no,0
5803,Five Girls (2006),no,0
5804,Five Graves to Cairo (1943),no,0
5805,Five Killers (2009),no,0
5806,Five Million Years to Earth (1967),no,0
5807,Five Minutes of Heaven (2009),no,0
5808,Five Minutes to Tomorrow (2014),no,0
5809,Five Star Final (1931),no,0
5810,Five Weeks in a Balloon (1962),no,0
5811,Fiza (2000),no,0
5812,Flags of Our Fathers (2006),no,0
5813,Flåklypa Grand Prix (1975),no,0
5814,Flaming Star (1960),no,0
5815,Flamingo Road (1949),no,0
5816,Flarsky (2019),no,0
5817,Flash Gordon Conquers the Universe(1940),no,0
5818,Flash Gordon: (1936 & 1980),no,0
5819,Flash Gordon's Trip to Mars (1938),no,0
5820,Flash of Genius (2008),no,0
5821,Flashback: (1969 & 1990),no,0
5822,Flashbacks of a Fool (2008),no,0
5823,Flashdance (1983),no,0
5824,Flat! (2010),no,0
5825,Flatland 2: Sphereland (2012),no,0
5826,Flatland (2007),no,0
5827,Flatland: The Movie (2007),no,0
5828,Flatliners: (1990 & 2017),no,0
5829,Flawless: (1999 & 2008),no,0
5830,Fled (1996),no,0
5831,Fleet of Time (2014),no,0
5832,Flesh & Blood: (1985 & 1993),no,0
5833,Flesh and Bone (1993),no,0
5834,Flesh and the Devil (1926),no,0
5835,Flesh for Frankenstein (1973),no,0
5836,Flesh for the Beast (2003),no,0
5837,Flesh Gordon Meets the Cosmic Cheerleaders (1989),no,0
5838,Flesh Gordon (1974),no,0
5839,Flesh: (1932 & 1968),no,0
5840,Flesheater (1988),no,0
5841,Fletch Lives (1989),no,0
5842,Fletch (1985),no,0
5843,Flicka (2006),no,0
5844,Flight 93 (2006) (TV),no,0
5845,Flight of the Intruder (1991),no,0
5846,Flight of the Living Dead (2008),no,0
5847,Flight of the Navigator (1986),no,0
5848,Flight of the Raven (1984),no,0
5849,Flight to Mars (1951),no,0
5850,"Flight: (1929, 2009 & 2012)",no,0
5851,Flightplan (2005),no,0
5852,Flipped (2010),no,0
5853,Flipper: (1963 & 1996),no,0
5854,Flipping Out (2007),no,0
5855,Flirtation Walk (1934),no,0
5856,Flirting with Disaster (1996),no,0
5857,Flirting (1991),no,0
5858,Floating Life (1996),no,0
5859,Floating Weeds (1959),no,0
5860,Florence Foster Jenkins (2016),no,0
5861,Flower & Garnet (2002),no,0
5862,Flower and Snake: Zero (2014),no,0
5863,Flower Drum Song (1961),no,0
5864,Flowers and Trees (1932),no,0
5865,Flowers in the Attic: (1987 & 2014),no,0
5866,Flowers in the Shadows (2008),no,0
5867,Flowers of Shanghai (1998),no,0
5868,Flubber (1997),no,0
5869,Fluke (1995),no,0
5870,Flushed Away (2006),no,0
5871,Fly Away Home (1996),no,0
5872,Fly Me to the Moon (2008),no,0
5873,Flyboys (2006),no,0
5874,Flying Boys (2004),no,0
5875,Flying Down to Rio (1933),no,0
5876,Flying Leathernecks (1951),no,0
5877,Flying Padre (1951),no,0
5878,Flying Swords of Dragon Gate (2011),no,0
5879,Flying Tigers (1942),no,0
5880,Flying Virus (2001),no,0
5881,Flying Wild (1941),no,0
5882,Flywheel (2003),no,0
5883,FM (1978),no,0
5884,Focus: (2001 & 2015),no,0
5885,Follow Me My Queen (2015),no,0
5886,Follow Me Quietly (1949),no,0
5887,"Follow Me, Boys! (1966)",no,0
5888,Follow That Bird (1985),no,0
5889,Follow That Dream (1962),no,0
5890,Follow the Fleet (1936),no,0
5891,Following (1998),no,0
5892,"Food, Inc. (2009)",no,0
5893,Foodfight! (unreleased),no,0
5894,Fool for Love (1985),no,0
5895,Foolish Plans (2016),no,0
5896,Foolproof (2003),no,0
5897,Fool's Gold (2008),no,0
5898,"Fools Rush In: (1949, 1973 & 1997)",no,0
5899,Football Under Cover (2008),no,0
5900,Footlight Parade (1933),no,0
5901,Footloose: (1984 & 2011),no,0
5902,Footnote (2011),no,0
5903,Footrot Flats: The Dog's Tale (1986),no,0
5904,For a Few Bullets (2016),no,0
5905,For a Few Dollars More (1965),no,0
5906,"For a Good Time, Call... (2012)",no,0
5907,For a Lost Soldier (1992),no,0
5908,For All Mankind (1989),no,0
5909,For Colored Girls (2010),no,0
5910,For Eternal Hearts (2007),no,0
5911,For Heaven's Sake (1926),no,0
5912,For Love of the Game (1999),no,0
5913,For Love or Country: The Arturo Sandoval Story (2000) (TV),no,0
5914,For Love or Money (1993),no,0
5915,For Me and My Gal (1942),no,0
5916,For One Night (2006) (TV),no,0
5917,For Queen and Country (1989),no,0
5918,For Richer or Poorer (1997),no,0
5919,For Scent-imental Reasons (1949),no,0
5920,For the Birds (2000),no,0
5921,For the First Time: (1959 & 2008),no,0
5922,For Those in Peril (1944),no,0
5923,For Whom the Bell Tolls (1943),no,0
5924,For Your Consideration (2006),no,0
5925,For Your Eyes Only (1981),no,0
5926,Forbidden Forest (2004),no,0
5927,Forbidden Fruit: (1921 & 2000),no,0
5928,Forbidden Games (1952),no,0
5929,Forbidden Love: The Unashamed Stories of Lesbian Lives (1992),no,0
5930,Forbidden Planet (1956),no,0
5931,Forbidden Zone (1982),no,0
5932,Forbidden (1949),no,0
5933,Force 10 from Navarone (1978),no,0
5934,Force of Evil (1948),no,0
5935,Forces of Nature (1999),no,0
5936,Ford v Ferrari (2019),no,0
5937,Foreign Correspondent (1940),no,0
5938,Foreigners (1972),no,0
5939,Forever Amber (1947),no,0
5940,Forever Enthralled (2008),no,0
5941,Forever Love: (2014 & 2015),no,0
5942,Forever Mine (1999),no,0
5943,Forever the Moment (2008),no,0
5944,Forever Young: (1992 & 2014),no,0
5945,Forget All Remember (2014),no,0
5946,Forget Paris (1995),no,0
5947,Forgetting Sarah Marshall (2008),no,0
5948,Forgive and Forget (2000) (TV),no,0
5949,Forgotten Silver (1995),no,0
5950,Forklift Driver Klaus – The First Day on the Job (2000),no,0
5951,Formosa (2005),no,0
5952,Formula 17 (2004),no,0
5953,Formula 51 (2001),no,0
5954,Forrest Gump (1994),no,0
5955,Fort Apache (1948),no,0
5956,Fortress 2: Re-Entry (1999),no,0
5957,"Fortress: (1985, 1992 & 2012)",no,0
5958,Forty Guns (1958),no,0
5959,Forty Shades of Blue (2005),no,0
5960,"Foul Play: (1920, 1977 & 1978)",no,0
5961,Four Brothers (2005),no,0
5962,Four Christmases (2008),no,0
5963,Four Daughters (1938),no,0
5964,Four Days in September (1997),no,0
5965,Four Feathers: (1939 & 2002),no,0
5966,"Four Feathers: (1939, 1978 & 2002)",no,0
5967,Four Flies on Grey Velvet (1972),no,0
5968,Four for Venice (1998),no,0
5969,Four Horsemen of the Apocalypse(1962),no,0
5970,Four Horsemen of the Apocalypse: (1921 & 1962),no,0
5971,Four Lions (2010),no,0
5972,Four of the Apocalypse (1975),no,0
5973,Four Rooms (1995),no,0
5974,Four Shades of Brown (2004),no,0
5975,Four Weddings and a Funeral (1994),no,0
5976,Four's a Crowd (1938),no,0
5977,Fourteen Hours (1951),no,0
5978,Fox and His Friends (1976),no,0
5979,Foxes (1980),no,0
5980,"Foxfire: (1955, 1987 & 1996)",no,0
5981,Foxy Brown (1974),no,0
5982,Fra Diavolo (1933),no,0
5983,Fracture: (2004 & 2007),no,0
5984,Frække Frida (1994),no,0
5985,Fragile (2005),no,0
5986,Frailty (2001),no,0
5987,"Framed: (1930, 1947, 1975 & 1990 TV)",no,0
5988,Frances Ha (2013),no,0
5989,Frances (1982),no,0
5990,Frank Film (1973),no,0
5991,Frank (2014),no,0
5992,Frankenfish (2004),no,0
5993,Frankenhooker (1990),no,0
5994,Frankenstein and the Monster from Hell (1974),no,0
5995,Frankenstein Conquers the World(1965),no,0
5996,Frankenstein Created Woman(1967),no,0
5997,Frankenstein Meets the Wolf Man(1943),no,0
5998,Frankenstein Must Be Destroyed(1969),no,0
5999,Frankenstein Unbound (1990),no,0
6000,Frankenstein series:,no,0
6001,Frankenstein: (1910 & 1931),no,0
6002,Frankenstein: The True Story(1973) (TV),no,0
6003,Frankenstein's Daughter (1958),no,0
6004,Frankenweenie: (1984 & 2012),no,0
6005,Frankie and Johnny: (1966 & 1991),no,0
6006,Franklin and the Green Knight (2000),no,0
6007,Franklin and the Turtle Lake Treasureaka Franklin and Granny's Secret(2006),no,0
6008,Franklin's Magic Christmas (2001),no,0
6009,Franklyn (2009),no,0
6010,Frantic (1988),no,0
6011,Franz Schubert (1953),no,0
6012,Frat House (1998),no,0
6013,Fraternity Vacation (1985),no,0
6014,Frau im Mond (1929),no,0
6015,Freak Talks About Sex (1999),no,0
6016,Freaked (1993),no,0
6017,Freaks (1932),no,0
6018,Freaky Friday: (1976 & 2003),no,0
6019,Fred Claus (2007),no,0
6020,Fred Ott Holding a Bird (1894),no,0
6021,Fred Ott's Sneeze (1894),no,0
6022,Freddy Got Fingered (2001),no,0
6023,Freddy vs. Jason (2003),no,0
6024,Freddy's Dead: The Final Nightmare(1991),no,0
6025,Free Birds (2013),no,0
6026,Free Soul (1931),no,0
6027,Free Willy 2: The Adventure Home(1995),no,0
6028,Free Willy 3: The Rescue (1997),no,0
6029,Free Willy (1993),no,0
6030,Free Willy series:,no,0
6031,Free Willy: Escape from Pirate's Cove (2010),no,0
6032,Freebie and the Bean (1974),no,0
6033,Freedom Downtime (2001),no,0
6034,Freedom Fields (2018),no,0
6035,Freedom Writers (2007),no,0
6036,Freedomland (2006),no,0
6037,Freejack (1992),no,0
6038,Freeway II: Confessions of a Trickbaby(1999),no,0
6039,Freeway (1988 & 1996),no,0
6040,Freeze Frame (2004),no,0
6041,Freeze Me (2000),no,0
6042,French Cancan (1955),no,0
6043,French Connection II (1975),no,0
6044,"French Kiss: (1995, 2011 & 2015)",no,0
6045,French Rarebit (1951),no,0
6046,French Twist (1996),no,0
6047,Frenzy (1972),no,0
6048,Frequency (2000),no,0
6049,Frequently Asked Questions About Time Travel (2009),no,0
6050,Fresh Hare (1942),no,0
6051,Fresh Horses (1988),no,0
6052,Fresh: (1994 & 2009),no,0
6053,Frida (2002),no,0
6054,Friday After Next (2002),no,0
6055,Friday Night Lights (2004),no,0
6056,Friday the 13th Part 2 (1981),no,0
6057,Friday the 13th Part III (1982),no,0
6058,Friday the 13th Part VI: Jason Lives(1986),no,0
6059,Friday the 13th Part VII: The New Blood (1988),no,0
6060,Friday the 13th Part VIII: Jason Takes Manhattan (1989),no,0
6061,Friday the 13th series:,no,0
6062,Friday the 13th: (1980 & 2009),no,0
6063,Friday the 13th: A New Beginning(1985),no,0
6064,Friday the 13th: The Final Chapter(1984),no,0
6065,Friday (1995),no,0
6066,Fried Green Tomatoes (1991),no,0
6067,Friedemann Bach (1941),no,0
6068,Friend: (2001 & 2009),no,0
6069,Friendly Persuasion (1956),no,0
6070,Friends with Benefits (2011),no,0
6071,Friends with Kids (2012),no,0
6072,Friends with Money (2006),no,0
6073,"Friends: (1971, 1999 & 2001)",no,0
6074,Fright Night Part 2 (1988),no,0
6075,Fright Night: (1985 & 2011),no,0
6076,Frigid Hare (1949),no,0
6077,Frisco Kid (1935),no,0
6078,Fritz the Cat (1972),no,0
6079,Frogs (1972),no,0
6080,From Beyond the Grave (1975),no,0
6081,From Beyond (1986),no,0
6082,From Dusk Till Dawn 2: Texas Blood Money (1999),no,0
6083,From Dusk Till Dawn 3: The Hangman's Daughter (2000),no,0
6084,From Dusk Till Dawn (1996),no,0
6085,From Dusk Till Dawn series:,no,0
6086,From Hell (2001),no,0
6087,From Here to Eternity (1953),no,0
6088,From Justin to Kelly (2003),no,0
6089,From Noon Till Three (1976),no,0
6090,From Now On (2007),no,0
6091,From Paris with Love (2010),no,0
6092,From Russia with Love (1963),no,0
6093,From Soup to Nuts (1928),no,0
6094,From Stump to Ship (1930),no,0
6095,From the Drain (1967),no,0
6096,From the Earth to the Moon (1958),no,0
6097,From the Life of the Marionettes (1980),no,0
6098,From the Manger to the Cross (1912),no,0
6099,From the Mixed-Up Files of Mrs. Basil E. Frankweiler: (1995 TV & 1973),no,0
6100,From the Terrace (1960),no,0
6101,From Vegas to Macau II (2015),no,0
6102,From Vegas to Macau (2014),no,0
6103,Frontier(s) (2008),no,0
6104,Frost/Nixon (2009),no,0
6105,Frostbite: (2005 & 2006),no,0
6106,Frostbiter: Wrath of the Wendigo(1996),no,0
6107,Frozen II (2019),no,0
6108,Frozen River (2008),no,0
6109,Frozen with Fear (2000),no,0
6110,"Frozen: (1997, 2005, 2007, 2010 US, 2010 Hong Kong & 2013)",no,0
6111,Fruitvale Station (2013),no,0
6112,FUBAR (2002),no,0
6113,Fuck (2006),no,0
6114,Fucking Åmål (1998),no,0
6115,Fuckland (2000),no,0
6116,Fudoh: The New Generation (1996),no,0
6117,Fuji (1975),no,0
6118,Fujian Blue (2007),no,0
6119,Full Body Massage (1995),no,0
6120,Full Contact (1992),no,0
6121,Full Disclosure: (2001 & 2005),no,0
6122,Full Frontal (2002),no,0
6123,Full Metal Jacket (1987),no,0
6124,Full Moon High (1981),no,0
6125,Full-Court Miracle (2003) (TV),no,0
6126,Fullmetal Alchemist the Movie: Conqueror of Shamballa (2005),no,0
6127,Fullmetal Alchemist (2017),no,0
6128,Fullmetal Alchemist series:,no,0
6129,Fullmetal Alchemist: The Sacred Star of Milos (2011),no,0
6130,Fulltime Killer (2001),no,0
6131,Fumō Chitai (1976),no,0
6132,Fun and Fancy Free (1947),no,0
6133,Fun Down There (1988),no,0
6134,Fun in Acapulco (1963),no,0
6135,Fun Size (2012),no,0
6136,Fun with Dick and Jane: (1977 & 2005),no,0
6137,Funeral in Berlin (1966),no,0
6138,Funky Monkey (2004),no,0
6139,Funny About Love (1990),no,0
6140,Funny Bones (1995),no,0
6141,Funny Face (1957),no,0
6142,Funny Farm (1988),no,0
6143,Funny Games (1997 & 2008),no,0
6144,Funny Girl (1964),no,0
6145,Funny Ha Ha (2007),no,0
6146,Funny Lady (1975),no,0
6147,Funny People (2009),no,0
6148,Fur: An Imaginary Portrait of Diane Arbus (2006),no,0
6149,Furious 7 (2015),no,0
6150,Furry Vengeance (2010),no,0
6151,Fursonas (2016),no,0
6152,Fury (1936 & 2012 & 2014),no,0
6153,Futurama series:,no,0
6154,Futurama: Bender's Big Score(2007),no,0
6155,Futurama: Bender's Game (2008),no,0
6156,Futurama: Into the Wild Green Yonder (2009),no,0
6157,Futurama: The Beast with a Billion Backs (2008),no,0
6158,Futuresport (1998 TV),no,0
6159,Futureworld (1976),no,0
6160,G Men (1935),no,0
6161,G.I. Blues (1960),no,0
6162,G.I. Jane (1997),no,0
6163,G.I. Joe: Retaliation (2013),no,0
6164,G.I. Joe: The Movie (1987),no,0
6165,G.I. Joe: The Rise of Cobra (2009),no,0
6166,G.O.R.A. (2005),no,0
